symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
AA,Alcoa Corporation,Alcoa Corporation,Materials,Aluminum,"Pittsburgh, Pennsylvania"
AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,Industrials,Passenger Airlines,"Fort Worth, Texas"
AAON,"AAON, Inc.","AAON, Inc.",Industrials,Building Products,"Tulsa, Oklahoma"
ACI,"Albertsons Companies, Inc.","Albertsons Companies, Inc.",Consumer Staples,Food Retail,"Boise, Idaho"
ACM,AECOM,AECOM,Industrials,Construction & Engineering,"Dallas, Texas"
ADC,Agree Realty Corporation,Agree Realty Corporation,Real Estate,Retail REITs,"Bloomfield Hills, Michigan"
AFG,"American Financial Group, Inc.","American Financial Group, Inc.",Financials,Multi-line Insurance,"Cincinnati, Ohio"
AGCO,AGCO Corporation,AGCO Corporation,Industrials,Agricultural & Farm Machinery,"Duluth, Georgia"
AIT,Applied Industrial Technologies,"Applied Industrial Technologies, Inc.",Industrials,Trading Companies & Distributors,"Cleveland, Ohio"
ALE,"Allete, Inc.","ALLETE, Inc.",Utilities,Electric Utilities,"Duluth, Minnesota"
ALGM,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc.",Information Technology,Semiconductors,"Manchester, New Hampshire"
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",Industrials,Passenger Airlines,"SeaTac, Washington"
ALLY,Ally Financial Inc.,Ally Financial Inc.,Financials,Consumer Finance,"Detroit, Michigan"
ALV,"Autoliv, Inc.","Autoliv, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"Stockholm, Sweden"
AM,Antero Midstream Corporation,Antero Midstream Corporation,Energy,Oil & Gas Storage & Transportation,"Denver, Colorado"
AMG,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",Financials,Asset Management & Custody Banks,"West Palm Beach, Florida"
AMH,American Homes 4 Rent,American Homes 4 Rent,Real Estate,Single-Family Residential REITs,"Las Vegas, Nevada"
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc.",Information Technology,Semiconductors,"Tempe, Arizona"
AN,"AutoNation, Inc.","AutoNation, Inc.",Consumer Discretionary,Automotive Retail,"Fort Lauderdale, Florida"
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Co.,Consumer Discretionary,Apparel Retail,"New Albany, Ohio"
APG,APi Group Corporation,APi Group Corporation,Industrials,Construction & Engineering,"New Brighton, Minnesota"
APPF,"AppFolio, Inc.","AppFolio, Inc.",Information Technology,Application Software,"Goleta, California"
AR,Antero Resources Corporation,Antero Resources Corporation,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
ARMK,Aramark,Aramark,Consumer Discretionary,Distributors,"Philadelphia, Pennsylvania"
ARW,"Arrow Electronics, Inc.","Arrow Electronics, Inc.",Information Technology,Technology Distributors,"Centennial, Colorado"
ASB,Associated Banc-Corp,Associated Banc-Corp,Financials,Regional Banks,"Green Bay, Wisconsin"
ASGN,ASGN Incorporated,ASGN Incorporated,Information Technology,IT Consulting & Other Services,"Glen Allen, Virginia"
ASH,Ashland Inc.,Ashland Inc.,Materials,Diversified Chemicals,"Wilmington, Delaware"
ATI,ATI Inc.,ATI Inc.,Industrials,Aerospace & Defense,"Dallas, Texas"
ATR,"AptarGroup, Inc.","AptarGroup, Inc.",Materials,"Metal, Glass & Plastic Containers","Crystal Lake, Illinois"
AVAV,"AeroVironment, Inc.","AeroVironment, Inc.",Industrials,Aerospace & Defense,"Arlington County, Virginia"
AVNT,Avient Corporation,Avient Corporation,Materials,Specialty Chemicals,"Avon Lake, Ohio"
AVT,"Avnet, Inc.","Avnet, Inc.",Information Technology,Technology Distributors,"Phoenix, Arizona"
AVTR,"Avantor, Inc.","Avantor, Inc.",Health Care,Life Sciences Tools & Services,"Radnor, Pennsylvania"
AXTA,Axalta Coating Systems Ltd.,Axalta Coating Systems Ltd.,Materials,Specialty Chemicals,"Philadelphia, Pennsylvania"
AYI,Acuity Inc.,Acuity Inc.,Industrials,Electrical Components & Equipment,"Atlanta, Georgia"
BBWI,"Bath & Body Works, Inc.","Bath & Body Works, Inc.",Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio"
BC,Brunswick Corporation,Brunswick Corporation,Consumer Discretionary,Leisure Products,"Mettawa, Illinois"
BCO,Brinks Company (The),The Brink's Company,Industrials,Security & Alarm Services,"Richmond, Virginia"
BDC,Belden Inc,Belden Inc.,Information Technology,Electronic Components,"St. Louis, Missouri"
BHF,"Brighthouse Financial, Inc.","Brighthouse Financial, Inc.",Financials,Life & Health Insurance,"Charlotte, North Carolina"
BILL,"BILL Holdings, Inc.","BILL Holdings, Inc.",Information Technology,Application Software,"San Jose, California"
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",Health Care,Life Sciences Tools & Services,"Hercules, California"
BJ,"BJ's Wholesale Club Holdings, I","BJ's Wholesale Club Holdings, Inc.",Consumer Staples,Consumer Staples Merchandise Retail,"Marlborough, Massachusetts"
BKH,Black Hills Corporation,Black Hills Corporation,Utilities,Multi-Utilities,"Rapid City, South Dakota"
BLD,TopBuild Corp.,TopBuild Corp.,Consumer Discretionary,Homebuilding,
BLKB,"Blackbaud, Inc.","Blackbaud, Inc.",Information Technology,Application Software,"Charleston, South Carolina"
BMRN,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,Health Care,Biotechnology,"San Rafael, California"
